30;"header";"coord:time";"data:Ex";"data:quality"
30;"header";"(UTC)";"(V m**-1)";""
30;"header";"time";"Ex";"quality"
30;"values";2004-03-28T03:03:14.198;5.4490001e-06;1.0000000e+00
30;"values";2004-03-28T03:03:14.208;1.5570000e-06;1.0000000e+00
30;"values";2004-03-28T03:03:14.218;2.3350001e-06;1.0000000e+00
30;"values";2004-03-28T03:03:14.228;4.6700002e-06;1.0000000e+00
30;"values";2004-03-28T03:03:14.238;3.1130000e-06;1.0000000e+00
30;"values";2004-03-28T03:08:59.196;4.6700002e-06;1.0000000e+00
30;"values";2004-03-28T03:08:59.206;3.1130000e-06;1.0000000e+00
30;"values";2004-03-28T03:08:59.216;7.7840002e-07;1.0000000e+00
30;"values";2004-03-28T03:13:54.194;5.4490001e-06;0.0000000e+00
30;"values";2004-03-28T03:18:00.000;4.6700002e-06;1.0000000e+00
30;"values";2004-03-28T03:18:00.010;2.3350001e-06;1.0000000e+00
30;"values";2004-03-28T03:18:00.020;3.8920002e-06;1.0000000e+00
30;"values";2004-03-28T03:18:00.030;6.2270001e-06;1.0000000e+00
30;"values";2004-03-28T03:18:00.040;6.2270001e-06;1.0000000e+00
30;"values";2004-03-28T03:18:00.050;1.5570000e-06;1.0000000e+00
