1;"header";"coord:time";"coord:space";;"data:calibrated";;;"data:raw";;
1;"header";"(t1970)";"(m)";;"(nT)";;;"(nT)";;
1;"header";"time";"space_x";"space_y";"Bx_cal";"By_cal";"Bz_cal";"Bx_raw";"By_raw";"Bz_raw"
1;"values";2022-07-07T19:43:39.540;1.0000000e+00;1.0000000e+00;4.9540141e+04;-1.1208650e+05;-3.5295430e+04;4.9540141e+04;-1.1208650e+05;-3.5295430e+04
1;"values";2022-07-07T19:43:39.540;1.0000000e+00;2.0000000e+00;-2.5341740e+04;-5.2270789e+04;-1.2128280e+05;-2.5341740e+04;-5.2270789e+04;-1.2128280e+05
1;"values";2022-07-07T19:43:39.540;2.0000000e+00;1.0000000e+00;1.4704730e+03;4.6202148e+04;1.4757370e+04;1.4704730e+03;4.6202148e+04;1.4757370e+04
1;"values";2022-07-07T19:43:39.540;2.0000000e+00;2.0000000e+00;1.4349630e+04;-5.0883059e+04;6.9435229e+03;1.4349630e+04;-5.0883059e+04;6.9435229e+03
1;"values";2022-07-07T19:43:39.543;1.0000000e+00;1.0000000e+00;4.9538422e+04;-1.1210390e+05;-3.5297891e+04;4.9538422e+04;-1.1210390e+05;-3.5297891e+04
1;"values";2022-07-07T19:43:39.543;1.0000000e+00;2.0000000e+00;-2.5334221e+04;-5.2295949e+04;-1.2128950e+05;-2.5334221e+04;-5.2295949e+04;-1.2128950e+05
1;"values";2022-07-07T19:43:39.543;2.0000000e+00;1.0000000e+00;1.4787990e+03;4.6186520e+04;1.4772620e+04;1.4787990e+03;4.6186520e+04;1.4772620e+04
1;"values";2022-07-07T19:43:39.543;2.0000000e+00;2.0000000e+00;1.4346400e+04;-5.0893309e+04;6.9331450e+03;1.4346400e+04;-5.0893309e+04;6.9331450e+03
1;"values";2022-07-07T19:43:39.545;1.0000000e+00;1.0000000e+00;4.9531840e+04;-1.1211890e+05;-3.5290359e+04;4.9531840e+04;-1.1211890e+05;-3.5290359e+04
1;"values";2022-07-07T19:43:39.545;1.0000000e+00;2.0000000e+00;-2.5341711e+04;-5.2307691e+04;-1.2130020e+05;-2.5341711e+04;-5.2307691e+04;-1.2130020e+05
1;"values";2022-07-07T19:43:39.545;2.0000000e+00;1.0000000e+00;1.4822419e+03;4.6180359e+04;1.4759380e+04;1.4822419e+03;4.6180359e+04;1.4759380e+04
1;"values";2022-07-07T19:43:39.545;2.0000000e+00;2.0000000e+00;1.4339490e+04;-5.0904879e+04;6.9401338e+03;1.4339490e+04;-5.0904879e+04;6.9401338e+03
1;"values";2022-07-07T19:43:39.547;1.0000000e+00;1.0000000e+00;4.9520129e+04;-1.1212440e+05;-3.5298250e+04;4.9520129e+04;-1.1212440e+05;-3.5298250e+04
1;"values";2022-07-07T19:43:39.547;1.0000000e+00;2.0000000e+00;-2.5335250e+04;-5.2309711e+04;-1.2131840e+05;-2.5335250e+04;-5.2309711e+04;-1.2131840e+05
1;"values";2022-07-07T19:43:39.547;2.0000000e+00;1.0000000e+00;1.4860341e+03;4.6187969e+04;1.4752310e+04;1.4860341e+03;4.6187969e+04;1.4752310e+04
1;"values";2022-07-07T19:43:39.547;2.0000000e+00;2.0000000e+00;1.4334550e+04;-5.0903828e+04;6.9350269e+03;1.4334550e+04;-5.0903828e+04;6.9350269e+03
1;"values";2022-07-07T19:43:39.550;1.0000000e+00;1.0000000e+00;4.9523398e+04;-1.1211070e+05;-3.5294820e+04;4.9523398e+04;-1.1211070e+05;-3.5294820e+04
1;"values";2022-07-07T19:43:39.550;1.0000000e+00;2.0000000e+00;-2.5341699e+04;-5.2297898e+04;-1.2131530e+05;-2.5341699e+04;-5.2297898e+04;-1.2131530e+05
1;"values";2022-07-07T19:43:39.550;2.0000000e+00;1.0000000e+00;1.4870670e+03;4.6201328e+04;1.4742290e+04;1.4870670e+03;4.6201328e+04;1.4742290e+04
1;"values";2022-07-07T19:43:39.550;2.0000000e+00;2.0000000e+00;1.4330820e+04;-5.0891301e+04;6.9435552e+03;1.4330820e+04;-5.0891301e+04;6.9435552e+03
